office_hours,majors,python_comfort,take_if_not_required,preference_oh_1,preference_oh_2
2,Strategic Business Development & Entrepreneurship,2,0,Wednesday 4pm-6pm,Friday 12pm-2pm
2,Accountancy,3,0,Wednesday 4pm-6pm,Friday 2pm-4pm
1,Finance,3,1,Tuesday 10am-12pm,Friday 2pm-4pm
2,Operations Management,2,0,Wednesday 4pm-6pm,Friday 12pm-2pm
3,Marketing,2,0,Wednesday 4pm-6pm,Friday 2pm-4pm
3,Accountancy,4,1,Wednesday 6pm-8pm,Friday 2pm-4pm
1,Operations Management,2,0,Wednesday 4pm-6pm,Friday 2pm-4pm
1,Accountancy,3,0,Tuesday 10am-12pm,Friday 2pm-4pm
1,Accountancy,4,0,Wednesday 4pm-6pm,Friday 12pm-2pm
1,Finance,1,0,Wednesday 4pm-6pm,Friday 12pm-2pm
2,Supply Chain Management,1,0,Wednesday 4pm-6pm,Friday 2pm-4pm
3,Accountancy,3,0,Wednesday 4pm-6pm,Friday 2pm-4pm
1,Marketing,2,1,Wednesday 4pm-6pm,Friday 12pm-2pm
2,Finance,3,0,Wednesday 4pm-6pm,Friday 2pm-4pm
3,Management,1,0,Wednesday 4pm-6pm,Friday 12pm-2pm
1,Finance,2,0,Wednesday 4pm-6pm,Friday 2pm-4pm
2,Marketing,2,0,Wednesday 4pm-6pm,Friday 12pm-2pm
3,Finance,3,1,Tuesday 10am-12pm,Friday 2pm-4pm
1,Finance,1,1,Wednesday 4pm-6pm,Friday 2pm-4pm
2,Supply Chain Management,2,0,Wednesday 6pm-8pm,Friday 2pm-4pm
2,Accountancy,2,0,Tuesday 10am-12pm,Friday 12pm-2pm
3,Marketing,2,0,Wednesday 4pm-6pm,Friday 2pm-4pm
3,Finance,2,1,Wednesday 4pm-6pm,Friday 12pm-2pm
1,Accountancy,2,0,Wednesday 4pm-6pm,Friday 12pm-2pm
2,Management,3,0,Wednesday 4pm-6pm,
2,Accountancy,3,1,Wednesday 4pm-6pm,Friday 2pm-4pm
1,Accountancy,2,0,Wednesday 4pm-6pm,Friday 2pm-4pm
1,Accountancy,5,0,Wednesday 6pm-8pm,Friday 2pm-4pm
2,Management,3,1,Wednesday 6pm-8pm,Friday 2pm-4pm
2,Supply Chain Management,1,0,Wednesday 6pm-8pm,Friday 12pm-2pm
2,Accountancy,2,0,Wednesday 4pm-6pm,Friday 12pm-2pm
3,Finance,1,1,Tuesday 10am-12pm,Friday 12pm-2pm
2,Management,3,0,Wednesday 6pm-8pm,Friday 12pm-2pm
2,Finance,1,1,Wednesday 4pm-6pm,Friday 12pm-2pm
1,Marketing,2,0,Wednesday 4pm-6pm,Friday 2pm-4pm
2,Marketing,2,1,Wednesday 4pm-6pm,Friday 12pm-2pm
1,Supply Chain Management,2,0,Tuesday 10am-12pm,Friday 12pm-2pm
1,Finance,2,1,Wednesday 6pm-8pm,Friday 2pm-4pm
2,Supply Chain Management,2,1,Wednesday 4pm-6pm,Friday 2pm-4pm
1,Strategic Business Development & Entrepreneurship,4,0,Wednesday 4pm-6pm,Friday 12pm-2pm
3,Management,1,0,Tuesday 10am-12pm,Friday 12pm-2pm
